algoritmo,fold,cutoff,accuracy,f1,kappa,precision,recall,specificity
McFeeters,1,0.1100000000000001,0.5088348040960434,0.03474891057904131,0.01766960819208685,0.9993063583815028,0.017681881594396782,0.9999877265976902
McFeeters,1,0.1200000000000001,0.5081127189268138,0.03194834159282772,0.01622543785362751,0.9994962216624685,0.016233620121833974,0.9999918177317935
McFeeters,1,0.13000000000000012,0.507406998293997,0.029195491267959946,0.014813996587994094,1,0.014813996587994158,1
McFeeters,1,0.14000000000000012,0.5068342395195372,0.026968341862680205,0.013668479039074422,1,0.013668479039074422,1
McFeeters,1,0.15000000000000013,0.5062655718791806,0.024752115202792795,0.012531143758361285,1,0.012531143758361256,1
McFeeters,1,0.16000000000000014,0.5057910003231996,0.022898787520929217,0.011582000646399138,1,0.011582000646399188,1
McFeeters,1,0.16999999999999993,0.5052100592805332,0.02062531885431091,0.010420118561066394,1,0.010420118561066314,1
McFeeters,1,0.17999999999999994,0.5047498066939137,0.01882043987307145,0.009499613387827344,1,0.00949961338782724,1
McFeeters,1,0.18999999999999995,0.5042813718390875,0.016980091187876235,0.008562743678175,1,0.008562743678175028,1
McFeeters,1,0.19999999999999996,0.5038558938923459,0.015305542473895322,0.007711787784691726,1,0.0077117877846917945,1
McFeeters,1,0.20999999999999996,0.5034836006889469,0.013837990687999221,0.006967201377893861,1,0.006967201377893966,1
McFeeters,1,0.21999999999999997,0.5031317631560644,0.01244907749977639,0.0062635263121288975,1,0.006263526312128985,1
McFeeters,1,0.22999999999999998,0.5027983357266468,0.011131046098641573,0.005596671453293567,1,0.005596671453293568,1
McFeeters,1,0.24,0.5024833184006938,0.009884182458425778,0.004966636801387647,1,0.004966636801387713,1
McFeeters,1,0.25,0.5022296680862902,0.008879077553447566,0.00445933617258043,1,0.004459336172580401,1
McFeeters,1,0.26,0.5019637443695767,0.007824247833050111,0.003927488739153384,1,0.003927488739153381,1
McFeeters,1,0.27,0.5017632787985158,0.007028329385673459,0.0035265575970315766,1,0.003526557597031473,1
McFeeters,1,0.28,0.5015566765262999,0.006207380338673366,0.0031133530525997433,1,0.003113353052599711,1
McFeeters,1,0.29000000000000004,0.5013868944610136,0.0055322325985581915,0.002773788922027176,1,0.002773788922027075,1
McFeeters,1,0.30000000000000004,0.5011946111581591,0.0047670550782605145,0.002389222316318218,1,0.0023892223163183065,1
McFeeters,1,0.31000000000000005,0.5010432391963376,0.0041642681298761745,0.002086478392675284,1,0.0020864783926752336,1
McFeeters,1,0.32000000000000006,0.5009245963073423,0.003691558826051625,0.001849192614684636,1,0.0018491926146847167,1
McFeeters,1,0.33000000000000007,0.5008345913570701,0.0033328023721711,0.0016691827141401827,1,0.0016691827141401868,1
McFeeters,1,0.3400000000000001,0.5007507231079528,0.0029983905097263866,0.001501446215905533,1,0.0015014462159055112,1
McFeeters,1,0.3500000000000001,0.5006607181576805,0.0026393848517286744,0.0013214363153610797,1,0.0013214363153609813,1
McFeeters,1,0.3600000000000001,0.500589123310873,0.002353719980876025,0.0011782466217460374,1,0.0011782466217460142,1
McFeeters,1,0.3700000000000001,0.5005277562993238,0.002108799333030908,0.0010555125986475566,1,0.001055512598647471,1
McFeeters,1,0.3800000000000001,0.5004684348548261,0.0018719856126869943,9.368697096521217e-4,1,9.368697096522126e-4,1
McFeeters,1,0.3900000000000001,0.5004091134103285,0.0016351157457558528,8.182268206569088e-4,1,8.182268206569543e-4,1
McFeeters,1,0.40000000000000013,0.5003682020692957,0.0014717244931748774,7.364041385913289e-4,1,7.364041385912589e-4,1
McFeeters,1,0.41000000000000014,0.5003252451612111,0.0013001349196614742,6.504903224222591e-4,1,6.504903224222786e-4,1
McFeeters,1,0.41999999999999993,0.5002904705213332,0.00116120749224158,5.809410426664829e-4,1,5.809410426664375e-4,1
McFeeters,1,0.42999999999999994,0.5002434224791454,9.732161112246985e-4,4.8684495829087737e-4,1,4.8684495829088783e-4,1
